Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-415.8,0.0,332,134,50.0,0.0
100,-391.0,0.2,392,0,40.4,27.32227897644043
200,-140.5,0.7,146,0,16.8,6.468045711517334
300,-168.1,0.5,138,47,25.9,0.03261486813426018
400,-38.6,0.6,25,2,21.7,33.20841598510742
500,-2.7,1.0,10,0,4.7,0.0
600,6.5,1.0,2,0,2.7,7.8431830406188965
700,-22.1,0.5,1,0,26.7,0.0
800,-7.3,0.8,3,0,13.4,56.51468276977539
900,7.9,1.0,0,0,3.1,0.2647196054458618
0,-64.4,0.7,29,56,18.0,0.0
1000,-148.5,0.5,81,108,27.1,19.145891189575195
1100,-116.4,0.5,34,128,27.3,29.322101593017578
1200,-59.6,0.7,5,90,17.8,33.885986328125
1300,-122.3,0.6,32,155,22.6,0.0
1400,-51.3,0.7,21,45,17.6,77.00845336914062
1500,-42.0,0.4,17,0,31.1,3.666388511657715
1600,-1.4,0.9,3,0,8.6,37.89046859741211
1700,-5.4,0.9,5,2,9.8,17.147096633911133
1800,-7.0,0.8,3,0,13.1,177.84951782226562
1900,-36.4,0.5,16,1,27.0,15.941901206970215
2000,-4.9,0.9,5,2,9.3,0.0004982583341188729
2100,-34.8,0.7,3,44,17.8,0.24724198877811432
2200,-9.7,0.7,0,0,17.4,3.115222930908203
2300,-0.2,0.9,0,0,10.1,23.490720748901367
2400,-25.1,0.9,15,27,8.0,8.734109878540039
2500,-24.0,0.7,10,10,17.7,0.0
2600,-3.7,0.8,0,0,12.5,8.302088737487793
2700,-27.5,0.9,15,30,8.9,0.10865303874015808
2800,-67.2,0.7,31,60,17.0,0.0
2900,-26.2,0.8,0,44,13.0,2.5269057750701904
3000,-4.4,0.8,0,0,13.2,4.165890693664551
3100,0.8,0.9,0,0,9.1,0.0859178826212883
3200,-36.1,0.5,16,0,27.2,0.44640523195266724
3300,7.4,1.0,1,0,2.7,5.4777655601501465
3400,-13.3,0.8,10,0,13.1,4.528695583343506
3500,-5.4,0.8,0,1,13.7,0.00012548163067549467
3600,-21.1,0.9,0,47,7.5,10.579496383666992
